question,correct,wrong1,wrong2,blank_sentence,original_context,context_translation
〜に起因する、〜の原因による,attributable to,beneficial to,unrelated to,The increase in post-operative complications was largely [   ] pre-existing comorbidities.,"Infection-related mortality (IRM) was defined as death primarily attributable to infectious complications, as determined by comprehensive clinical assessment, rather than death in which infection was present but not considered the primary cause.",感染関連死亡（IRM）は、感染が存在していたものの主な原因とは考えられなかった死亡ではなく、包括的な臨床評価により主として感染性合併症に起因すると判断された死亡と定義された。
〜として台頭した / 出現した,emerged as,turned into,resulted from,Multidrug-resistant pathogens have [   ] a major global public health concern.,Carbapenem-resistant Enterobacterales (CRE) have emerged as one of the most urgent antimicrobial resistance threats worldwide.,カルバペネム耐性腸内細菌目（CRE）は、世界中で最も緊急性の高い抗微生物薬耐性の脅威の1つとして浮上している。
〜にとって大きな課題を突きつける,poses a formidable challenge for,offers a simple solution to,has little impact on,The rapid emergence of drug resistance [   ] public health systems worldwide.,"The global spread of MBL-producing Enterobacterales, particularly New Dehli metallo-β-lactamase (NDM)–producing strains, poses a formidable challenge for clinicians and public health systems.",MBL産生腸内細菌目、特にニューデリー・メタロ-β-ラクタマーゼ（NDM）産生株の世界的な広がりは、臨床医や公衆衛生システムにとって大きな課題となっている。
さらなる検証・調査を必要とする,warrants further investigation,requires immediate action,has been fully explained,The precise biological mechanism underlying this phenomenon [   ].,"However, to our knowledge, PBP3 insertions in clinical cases of K. pneumoniae have not yet been described in the literature, and the interplay between the PBP3 alterations and β-lactamases warrants further investigation.",しかし、我々の知る限り、K. pneumoniaeの臨床症例におけるPBP3挿入変異は文献でまだ記載されておらず、PBP3変異とβ-ラクタマーゼの相互作用はさらなる調査が必要である。
〜の緊急の必要性を強調する,underscore the urgent need for,downplay the importance of,eliminate the demand for,These alarming statistics [   ] continuous monitoring and control strategies.,"Our findings uncover a previously unrecognized mechanism contributing to β-lactam resistance in K. pneumoniae and underscore the urgent need for continued genomic surveillance, development of novel therapeutics, and reinforced infection control measures to identify, treat, and prevent such infections.",我々の知見は、K. pneumoniaeにおけるβ-ラクタム耐性に寄与するこれまで認識されていなかったメカニズムを明らかにし、このような感染症を特定・治療・予防するための継続的なゲノム監視、新規治療薬の開発、強化された感染対策の緊急の必要性を強調している。
一般的に〜と関連している,is commonly associated with,is strictly independent of,is solely driven by,The development of severe complications [   ] advanced patient age.,"This resistance pattern is commonly associated with the production of extended-spectrum β-lactamases (ESBL), antimicrobial resistance genes (ARGs) carried on mobile genetic elements (MGEs) such as plasmids, which often carry other ARGs.",この耐性パターンは、一般的に基質拡張型β-ラクタマーゼ（ESBL）の産生と関連している。
我々の知る限り（文献上）,To our knowledge,In our opinion,On the contrary,"[   ], this is the first study to evaluate the efficacy of the novel compound in clinical settings.","However, to our knowledge, PBP3 insertions in clinical cases of K. pneumoniae have not yet been described in the literature, and the interplay between the PBP3 alterations and β-lactamases warrants further investigation.",しかし、我々の知る限り、K. pneumoniaeの臨床症例におけるPBP3挿入変異は文献でまだ記載されていない。
〜と一致している,is consistent with,is contrary to,is derived from,The observed clinical outcome [   ] results from earlier experimental trials.,"We suspect that the OmpK defects, combined with different β-lactamases, could partially contribute to the reduced aztreonam/avibactam and ceftazidime/avibactam susceptibility observed in the isolates, which is consistent with findings reported in previous studies.",我々は、OmpK欠損が多様なβ-ラクタマーゼと結合することで、分離株に見られたアズトレオナム/アビバクタムおよびセフタジジム/アビバクタムに対する感受性低下に一部寄与した可能性を疑っており、これは過去の研究で報告された知見と一致している。
対照的に,By contrast,In addition,As a result,"[   ], the treated group demonstrated a significant reduction in symptom severity.","By contrast, the blaKPC-2–cured LC1491 strain, which lacked blaDHA-1, showed an >32-fold reduction in MICs for imipenem, meropenem, aztreonam, and ceftazidime.",対照的に、blaDHA-1を欠くblaKPC-2キュア済みLC1491株は、イミペネム、メロペネム、アズトレオナム、セフタジジムのMICにおいて32倍以上の低下を示した。
根本にある〜を解明するために,To elucidate the underlying,To ignore the potential,To disprove the initial,"[   ] pathological pathways, additional molecular analyses were conducted.","To elucidate the underlying resistance mechanism, we isolated 3 resistant colonies from LC1491 (LC2124–26) and performed next-generation sequencing by using the NovaSeq platform (Illumina).",根本にある耐性メカニズムを解明するために、我々はLC1491から3つの耐性コロニー（LC2124–26）を分離し、NovaSeqプラットフォームを用いて次世代シーケンシングを行った。
主要な貯蔵庫（保有源）として機能する,serve as major reservoirs,act as primary barriers,lead to total eradication,Hospital environments often [   ] for antibiotic-resistant bacteria.,We believe households are major drivers of MDR Enterobacterales spread in the community and that environmental surfaces serve as major reservoirs of MDR Enterobacterales in households.,我々は、家庭が地域社会における多剤耐性腸内細菌目の拡散の主要な要因であり、環境表面が家庭内における多剤耐性腸内細菌目の主要な貯蔵庫として機能していると考えている。
結論として,In conclusion,On the other hand,For example,"[   ], early intervention is essential for improving long-term clinical outcomes.","In conclusion, households might serve as a major contributor to the acquisition and spread of MDR Enterobacterales in the community.",結論として、家庭は地域社会における多剤耐性腸内細菌目の獲得および拡散の主要な寄与因子となっている可能性がある。
〜と同時に起こった,coincided with,resulted in,preceded by,The sudden surge in hospital admissions [   ] the relaxation of infection control restrictions.,"The COVID-19 pandemic coincided with a marked increase in C. auris outbreaks worldwide, particularly in intensive care settings.",COVID-19パンデミックは、特に集中治療環境において、世界的なCandida aurisアウトブレイクの顕著な増加と同時に発生した。
〜と整合する・一致する,align with,differ from,lead to,Our observations closely [   ] previous reports regarding drug resistance trends.,"This study is not able to determine whether there are changes in the incidence of NDM-producing CRE, however, our findings align with recent reports of rising NDM-positive CRE in New York City.",本研究はNDM産生CREの罹患率に変化があるかどうかを特定することはできないが、我々の知見はニューヨーク市におけるNDM陽性CREの増加に関する最近の報告と一致している。
検出を免れる（見逃される）,escape detection,ensure accuracy,be easily diagnosed,Atypical clinical presentations can cause the disease to [   ] during initial screening.,"In addition to displaying susceptibility to carbapenems, blaOXA-23–harboring P. mirabilis might also escape detection during routine laboratory testing for carbapenemases...",カルバペネムに対する感性を表すことに加えて、blaOXA-23を保有するP. mirabilisは、カルバペネマーゼの日常的な臨床検査中に検出を免れる可能性がある。
〜の必要性を示唆している,suggest the need for,rule out the possibility of,confirm the presence of,These alarming survey results [   ] stricter public health policies.,Our findings suggest the need for continued vigilance in detecting blaOXA-23 in genera beyond Acinetobacter to prevent further spread between taxa.,我々の知見は、分類群間でのさらなる拡散を防ぐために、アシネトバクター属以外の属におけるblaOXA-23検出に対する継続的な警戒の必要性を示唆している。
〜の舞台を整える、〜のお膳立てをする,set the stage for,pave the way to,clear the path of,The preliminary findings [   ] further empirical research.,The structure of the 1.5-day meeting comprised multiple sessions where several experts provided a landscape overview or pro/con discussion of a topic to set the stage for moderated discussion.,1.5日間の会議は、司会付きディスカッションの舞台を整えるため、複数の専門家がトピックの全貌や賛否両論の議論を提供する複数のセッションで構成されていた。
目的に適した、目的に合った,fit-for-purpose,one-size-fits-all,state-of-the-art,The proposed diagnostic criteria must be [   ] to meet clinical needs.,"However, in considering the diversity, complexity, and burden of HAI pathogens, the use of genomic science for HAIs/AR pathogens must be fit-for-purpose according to the needs of the users, as opposed to one-size-fits-all.",しかし、医療関連感染（HAI）病原体の多様性、複雑さ、負担を考慮すると、HAI/耐性菌病原体に対するゲノム科学の利用は、画一的なものではなく、ユーザーのニーズに応じて目的に適したものでなければならない。
〜の必要性のバランスをとる,balance the needs for,compare the costs of,eliminate the risk of,Researchers must [   ] efficiency and accuracy in clinical trials.,"Therefore, it remains vital to balance the needs for standardization and innovation, as both are critical for public health and IPC success.",したがって、標準化とイノベーションの両方が公衆衛生および感染予防管理（IPC）の成功に不可欠であるため、両方の必要性のバランスをとることが引き続き極めて重要である。
（アウトカム・転帰の）改善と関連している,associated with improved outcomes,complicated by poor prognoses,independent of clinical efficacy,Early intervention was significantly [   ] in patients with severe sepsis.,Prompt and effective antibiotic therapy is associated with improved outcomes in patients with serious infections such as bloodstream infection and sepsis.,迅速かつ効果的な抗菌薬療法は、血流感染症や敗血症などの重症感染症患者における転帰の改善と関連している。
〜に従って、〜に準拠して,in accordance with,with respect to,in contrast to,The clinical study was conducted [   ] ethical guidelines.,Findings were reported in accordance with the STrengthening the Reporting of OBservational studies in Epidemiology (STROBE) guidelines for reporting observational studies.,研究結果は、観察研究の報告に関するSTROBEガイドラインに従って報告された。
〜を明らかにする、〜に光を当てる,throws light on,casts doubt on,draws boundaries around,This novel analysis [   ] the underlying mechanisms of drug resistance.,"Our study throws light on the contribution of antibiotic-resistance to the probability of receiving DEAT, which could aid in prioritizing antibiotic stewardship strategies.",本研究は、不適切実地経験的抗菌薬療法（DEAT）を受ける確率に対する抗菌薬耐性の寄与を明らかにし、抗菌薬適正使用支援戦略の優先順位付けに貢献する可能性がある。
更なる研究・調査を必要とする,warrants further study,lacks clinical relevance,avoids additional evaluation,The potential therapeutic efficacy of this compound [   ].,"Importantly, the risk-benefit ratio of broad-spectrum empiric therapy for less-sick patients with BSIs without sepsis is less clear and warrants further study.",重要なことに、敗血症を伴わない軽症の血流感染症患者に対する広域実地経験的療法のベネフィットとリスクの比率は明確ではなく、更なる研究が必要である。
〜への懸念を引き起こす,raises concern for,offers proof of,reduces risk of,The rapid emergence of resistant strains [   ] treatment failure.,"Among these, New Delhi metallo-beta-lactamase (NDM)-producing Pseudomonas aeruginosa can hydrolyse nearly all beta lactams and is associated with high mortality, raising concern for pan-resistant infections that require innovative therapeutic strategies.",これらのうち、NDM産生緑膿菌はほぼすべてのβ-ラクタム系薬を加水分解し、高い死亡率と関連しており、革新的な治療戦略を必要とする全耐性感染症への懸念を引き起こしている。
〜の重要性を強調する、際立たせる,underscores the importance of,diminishes the role of,questions the validity of,This finding [   ] early screening in high-risk populations.,"This case underscores the importance of maintaining a high index of suspicion for calciphylaxis in patients with painful skin lesions and compatible risk factors, regardless of age or kidney function.",本症例は、年齢や腎機能に関わらず、痛みを伴う皮膚病変と適合するリスク因子を持つ患者において、カルシフィラキシーを強く疑う姿勢を維持することの重要性を強調している。
〜する可能性を秘めている、〜する可能性がある,have the potential to,are bound to,fail to,Targeted therapies [   ] revolutionize cancer treatment.,"NGS and bioinformatics have the potential to add new dimensions to our public health capabilities, particularly in healthcare IPC and for local and global IPC and AR detection and tracking.",NGSとバイオインフォマティクスは、特に医療施設での感染管理や、地域・世界規模での耐性菌検出・追跡において、公衆衛生能力に新たな次元をもたらす可能性を秘めている。
〜において役割を果たす、影響を与える,play a role in,lose control of,keep track of,Genetic factors may [   ] the development of autoimmune diseases.,"In addition, factors that we did not evaluate in this study, such as healthcare system characteristics and resulting differences in healthcare-seeking behaviors may play a role in the observed increased mortality in South America.",さらに、本研究で評価しなかった因子、例えば医療システムの特性やそれに伴う受診行動の違いなどが、南米で観察された死亡率の上昇に影響を与えている可能性がある。
〜に焦点を当てて、〜を重点的に,with a focus on,with no regard to,as a result of,We analyzed patient records [   ] those with severe complications.,"Table 1 includes quality metrics for data generation and interrogation, with a focus on metrics and parameters that can be agreed upon to indicate high-quality data...",表1には、高品質なデータを示すものとして合意が得られる指標やパラメーターに焦点を当てた、データ生成および解析に関する品質指標が含まれている。
〜とは対照的に,In contrast to,In comparison with,In addition to,"[   ] previous reports, our findings indicate a significant decline in incidence.","In contrast, CRE cases in hospitalized patients in the US remained relatively stable from 2012 to 2017.",対照的に、米国の入院患者におけるカルバペネム耐性腸内細菌目細菌（CRE）症例数は2012年から2017年にかけて比較的安定していた。
〜の間の隔たり（溝）を埋める、架け橋となる,bridge the gap between,widen the margin of,draw a parallel between,The main objective of this initiative is to [   ] research and clinical practice.,"Bridging the gap between laboratory, clinical, IPC, and epidemiology domains will enhance implementation.",検査、臨床、感染予防管理（IPC）、疫学の各領域間の隔たりを埋めることが、臨床実装を促進する。
〜に沿って、〜と一致して,in line with,in conflict with,at variance with,Our results are [   ] previous clinical observations.,"In line with a quality control plan, it follows to utilize multiple components together to assess each run.",品質管理計画に沿って、各解析ランを評価するために複数の構成要素を組み合わせて利用することが適切である。
重大な臨床的課題となっている,represents a major clinical challenge,poses a minor diagnostic dilemma,indicates a temporary therapeutic effect,The emergence of multidrug-resistant bacteria [   ] worldwide.,"The emergence of multidrug-resistant Gram-negative bacteria, particularly carbapenem-resistant strains, represents a major clinical challenge worldwide.",多剤耐性グラム陰性菌、特にカルバペネム耐性株の出現は、世界中で重大な臨床的課題となっている。
ほとんど理解されていない／未解明のままである,remains poorly understood,is fully documented,has been conclusively proven,The impact of HSA on FDC activity in other carbapenem-resistant pathogens [   ].,"Although most studies have focused on A. baumannii, the impact of HSA on FDC activity in other carbapenem-resistant Gram-negative pathogens remains poorly understood.",ほとんどの研究はA. baumanniiに焦点を当ててきたが、他のカルバペネム耐性グラム陰性病原体におけるFDC活性へのHSAの影響はほとんど理解されていないままである。
〜を解明するために,to elucidate,to complicate,to disregard,We examined the expression of key iron-uptake genes by RT-qPCR [   ] albumin-mediated effects on drug activity.,We also evaluated FDC activity in the model CRAB strain M27835 using six clinically relevant human fluids and examined the expression of key iron-uptake genes by RT-qPCR to elucidate albumin-mediated effects on FDC activity.,我々はまた、6つの臨床的に関連のあるヒト体液を用いてモデルCRAB株M27835におけるFDC活性を評価し、FDC活性に対するアルブミン介在性の影響を解明するためにRT-qPCRによって主要な鉄取り込み遺伝子の発現を調べた。
製造元の指示に従って,according to the manufacturer’s instructions,regardless of the protocol rules,in contrast to standard procedures,RNA extraction was performed using the commercial kit [   ].,"RNA extraction was performed from three independent biological replicates using the Directzol RNA Kit (ZymoResearch), according to the manufacturer’s instructions.",RNA抽出は、製造元の指示に従ってDirectzol RNA Kit（ZymoResearch）を使用し、3つの独立した生物学的反復から実施された。
総合すると、これらの結果は〜を示している,"Taken together, these results indicate that","On the contrary, previous reports suggest that","Strictly speaking, the hypothesis proves that",[   ] physiological levels of HSA significantly reduce the bactericidal efficacy of FDC.,"Taken together, these results indicate that physiological levels of HSA significantly reduce the bactericidal efficacy of FDC against multiple carbapenem-resistant pathogens.",総合すると、これらの結果は、生理的濃度のHSAが複数のカルバペネム耐性病原体に対するFDCの殺菌効果を著しく低下させることを示している。
〜の主な原因となっている,is a leading cause of,is a rare contributor to,has no association with,Multidrug-resistant Acinetobacter baumannii [   ] nosocomial infections globally.,Multidrug-resistant Acinetobacter baumannii has been identified as a top-priority pathogen by the World Health Organization (WHO) and is a leading cause of nosocomial infections globally.,多剤耐性アシネトバクター・バウマニは世界保健機関（WHO）によって最優先病原体として特定されており、世界的に院内感染の主な原因となっている。
これまでのところ / 現在までに,To date,In distant future,Without exception,"[   ], dosing regimens of this drug combination have not been systemically optimised.","To date, dosing regimens of polymyxin B/rifampicin combinations against MDR A. baumannii have not been systemically optimised.",これまでのところ、多剤耐性A. baumanniiに対するポリミキシンB/リファンピシン併用療法の投与計画は体系的に最適化されていない。
〜に従って（実施された）,in accordance with,in direct violation of,with no reference to,Animal experiments were performed [   ] ethical guidelines for the care and use of laboratory animals.,Animal experiments were approved by the Monash University Animal Ethics Committee and conducted in accordance with the Australian Code of Practice for the Care and Use of Animals for Scientific Purposes.,動物実験はモナシュ大学動物倫理委員会の承認を受け、科学的目的のための動物の飼育と使用に関するオーストラリアの行動規範に従って実施された。
〜と一致している,is consistent with,contradicts with,is irrelevant to,This regrowth profile [   ] previous observations in other Gram-negative organisms.,"Such regrowth is indicative of the emergence of resistance and, more importantly, clinical failure, and is consistent with previous observations in other Gram-negative organisms such as K. pneumoniae.",このような再増殖は耐性の出現、そしてより重要なことに臨床的治療失敗を示唆しており、K. pneumoniaeなどの他のグラム陰性菌における以前の観察結果と一致している。
貴重なツールとして機能する／役立つ,serves as a valuable tool,creates a major obstacle,acts as a temporary baseline,The developed semi-mechanistic model [   ] for optimising dosage regimens in humans.,The developed semi-mechanistic PK/PD model serves as a valuable tool for optimising dosage regimens of polymyxin combinations in humans using in vitro infection models.,開発された半機械論的PK/PDモデルは、in vitro感染モデルを用いてヒトにおけるポリミキシン併用療法の投与計画を最適化するための貴重なツールとして機能する。
さらなる検証／評価が必要とされる,are warranted,are dismissed,are prohibited,"To better understand the proposed optimal regimen, further evaluations [   ].","To better understand the proposed optimal regimen in different patient populations, further evaluations using population PK models in different patient populations are warranted.",異なる患者集団における提案された最適投与計画をより良く理解するためには、母集団PKモデルを用いた異なる患者集団でのさらなる評価が必要とされる。
〜に関する懸念を提起する,raise concerns regarding,provide definitive proof for,eliminate doubts about,These combined findings [   ] the pharmacodynamic reliability of FDC in this setting.,"Given that the airways of individuals with cystic fibrosis are enriched in HSA, extracellular DNA, and inflammation-derived proteins, these combined findings raise concerns regarding the pharmacodynamic reliability of FDC in this setting.",嚢胞性繊維症患者の気道にはHSA、細胞外DNA、炎症由来タンパク質が豊富に含まれていることを考慮すると、これらの複合的な知見は、この状況におけるFDCの薬力学的信頼性に関する懸念を提起する。
〜に寄与する重要な要因と考えられている,is considered an important factor contributing to,is ruled out as a potential reason for,plays a negligible role in preventing,Heteroresistance [   ] unexplained antibiotic treatment failure.,Heteroresistance is considered an important factor contributing to unexplained antibiotic treatment failure.,ヘテロ耐性は、原因不明の抗菌薬治療失敗に寄与する重要な要因と考えられている。
重要な臨床的意味合いを持つ,have important clinical implications,produce minor experimental errors,lack practical significance,Mutations in target genes may [   ] in the development of drug resistance.,Mutations in cirA may have important clinical implications in the development of cefiderocol resistance.,cirAの変異は、セフィデロコル耐性の発現において重要な臨床的意味合いを持つ可能性がある。
要約すると / まとめると,In summary,In contrast,On the other hand,"[   ], the subanalysis suggests that combination therapy may reduce 30-day mortality.","In summary, the subanalysis suggests that combination therapy may reduce 30-day mortality associated with CRE infections and that future studies are warranted.",要約すると、サブ解析は併用療法がCRE感染に伴う30日死亡率を低下させる可能性を示唆しており、さらなる研究が必要とされる。
〜の増加する普及率／有病率,increasing prevalence of,decreasing incidence of,escalating abundance on,The [   ] antibiotic resistance presents a major public health challenge.,The increasing prevalence of carbapenemase-producing Enterobacterales (CPE) requires reliable diagnostic tools.,カルバペネマーゼ産生腸内細菌目（CPE）の増加する流行に伴い、信頼性の高い診断ツールが必要とされている。
〜の性能（判定能）を評価した,evaluated the performance of,modified the structure of,dismissed the value of,This multi-center study [   ] a new molecular assay for viral screening.,"This study evaluated the performance of the VITEK2 Advanced Expert System, a software interpretation program combined with VITEK2 AST results, for CPE detection, and the ability of BIOART expert rules to identify carbapenemase types.",本研究では、CPE検出に向けたVITEK2 AST結果と組み合わせたソフトウェア解析プログラムであるVITEK2 Advanced Expert Systemの性能と、カルバペネマーゼ型を識別するBIOARTエキスパートルールの能力を評価した。
〜にとって不可欠である,is essential for,is potential for,is resistant to,Rapid and reliable diagnosis [   ] effective infection control.,"Rapid and reliable detection of carbapenemase-producing Enterobacterales (CPE) is essential for infection control, epidemiological surveillance, and optimized antimicrobial therapy.",カルバペネマーゼ産生腸内細菌目（CPE）の迅速かつ信頼性の高い検出は、感染対策、疫学調査、および最適な抗菌薬療法にとって不可欠である。
〜だけでなく〜も可能である,capable not only of,responsible not only for,susceptible not only to,"Modern diagnostic platforms are [   ] detecting pathogens, but also predicting their resistance profiles.","As the prevalence and diversity of carbapenemases increase, diagnostic tools capable not only of detecting CPE but also predicting carbapenemase classes are increasingly needed to guide treatment decisions.",カルバペネマーゼの普及率と多様性が増すにつれ、CPEを検出するだけでなくカルバペネマーゼのクラスを予測することも可能な診断ツールが、治療決定の指針としてますます求められている。
〜を引き起こす可能性がある／〜につながり得る,may lead to,may result from,may refer to,Failure to detect resistance mechanisms [   ] inappropriate treatment decisions.,"In Europe, the emergence of OXA-48-like variants such as OXA-244 and OXA-484, which exhibit low hydrolytic activity to carbapenems and temocillin, complicates routine phenotypic detection and may lead to diagnostic failure.",ヨーロッパでは、カルバペネムやテモシリンに対する加水分解活性が低いOXA-244やOXA-484などのOXA-48類似変異株の出現により、日常的な表現型検出が難しくなり、診断の失敗につながる可能性がある。
重要な課題（ギャップ）に対処する,addressing an important gap,causing a major obstacle,revealing a severe flaw,The implementation of this novel assay contributes to [   ] in point-of-care diagnostics.,"The implementation of a dedicated rule significantly improves detection of difficult-to-identify OXA-244/OXA-484 producers, addressing an important diagnostic gap.",専用ルールの導入により、識別が困難なOXA-244/OXA-484産生菌の検出が大幅に向上し、重要な診断上の課題に対処している。
〜にとって極めて重要である,is critical for,is optional for,is typical of,Accurate susceptibility testing [   ] guiding targeted therapy.,Accurate antifungal susceptibility testing is critical for guiding antifungal therapy and informing infection prevention and antifungal stewardship strategies for,正確な抗真菌薬感受性試験は、抗真菌療法の指針となり、感染予防および抗真菌薬適正使用戦略を支援するために極めて重要である。
〜と比較して,compared to,combined with,opposed to,We evaluated the performance of the novel method [   ] the reference standard.,"In this study, we evaluated the performance of ETEST AZA, a gradient diffusion method, compared to reference broth microdilution for 650 challenge",本研究では、650の対象株に対して、勾配拡散法であるETEST AZAの性能を対照基準である微量液体希釈法と比較して評価した。
〜に対して適応となる,is indicated for,is substituted for,is compensated for,This novel therapeutic combination [   ] the treatment of multidrug-resistant infections.,It is indicated for the treatment of multidrug-resistant Gram-negative bacteria that produce multiple classes of β-lactamases.,本剤は、複数クラスのβ-ラクタマーゼを産生する多剤耐性グラム陰性菌の治療に対して適応となる。
〜に依存していた／〜を頼りにしていた,relied on,relied with,relied at,"Until recently, standard diagnostic procedures heavily [   ] time-consuming manual techniques.","Until recently, antimicrobial susceptibility testing for this combined agent relied on broth disk elution or microdilution using ceftazidime-avibactam and aztreonam combined.",最近まで、この併用薬剤の抗菌薬感受性試験は、セフタジジム・アビバクタムとアズトレオナムを組み合わせたディスク溶出法や微量液体希釈法に依存していた。
〜（という性質）があるにもかかわらず,Despite its,Because of its,Instead of its,"[   ] widespread adoption, the manual assay remains prone to user variability.","Despite its ubiquity, Gram staining is time-intensive, operator-dependent, and demands a rapid turnaround time.",普及しているにもかかわらず、グラム染色には時間がかかり、検査技師の熟練度に依存し、迅速な結果返却が求められる。
そのような理由から／したがって,"As such,","In contrast,","On the contrary,",Gram staining requires significant expertise; [   ] it represents an ideal candidate for automation.,"As such, it is an ideal target for automation.",そのような理由から、これは自動化の理想的な対象である。
本論文（ここ）では〜を発表／提示する,"Here, we present","Furthermore, we deny","Historically, we adopt",[   ] the development of a novel optical screening method for rapid bacterial identification.,"Here, we present the development of digital holographic microscopy, an optical system that scans slides using a multispectral coherent light instead of traditional lenses.",本論文では、従来のレンズの代わりに多波長コヒーレント光を用いてスライドをスキャンする光学システムである、デジタルホログラフィック顕微鏡の開発を提示する。
〜によって解釈（判定）され得る,can be interpreted by,can be replaced with,can be isolated from,The generated digital images [   ] staff with minimal prior training.,We additionally demonstrate that images collected by this method are qualitatively equivalent to those collected with optical microscopy and can be interpreted by individuals with no previous exposure to automated microscopy.,さらに、この方法で取得された画像は光学顕微鏡で取得された画像と質的に同等であり、自動顕微鏡の使用経験がない者によっても判定可能であることを実証する。
〜に利益（恩恵）をもたらす,provide benefit to,impose damage on,draw comparison with,This novel automated workflow can [   ] clinical laboratories by streamlining routine diagnostics.,This technology may therefore provide benefit to clinical microbiology laboratories by increasing efficiency of the Gram staining process.,したがって、この技術はグラム染色プロセスの効率を高めることで、臨床微生物検査室に恩恵をもたらす可能性がある。
〜にとって不可欠である,essential,optional,irrelevant,Rapid and reliable detection of pathogens is [   ] for effective infection control.,"Rapid and reliable detection of carbapenemase-producing Enterobacterales (CPE) is essential for infection control, epidemiological surveillance, and optimized antimicrobial therapy.",カルバペネマーゼ産生腸内細菌目（CPE）の迅速かつ信頼性の高い検出は、感染対策、疫学調査、および最適な抗菌薬療法の実施において不可欠である。
〜を評価した,evaluated,neglected,postponed,This study [   ] the performance of an automated diagnostic system for pathogen identification.,"This study evaluated the performance of the VITEK2 Advanced Expert System, a software interpretation program combined with VITEK2 AST results, for CPE detection, and the ability of BIOART expert rules to identify carbapenemase types.",本研究では、CPE検出におけるVITEK2 AST結果と組み合わせたソフトウェア解析プログラムであるVITEK2 Advanced Expert Systemの性能、およびカルバペネマーゼ型を同定するBIOARTエキスパートルールの能力を評価した。
同等の〜を示した,demonstrated,fabricated,contradicted,Both diagnostic algorithms [   ] similar sensitivities and specificities for bacterial detection.,The VITEK2 N436/AES and CA-SFM algorithm demonstrated similar sensitivities (93.8% vs 97.2%) and specificities (53.5% vs 49.5%) for CPE detection.,VITEK2 N436/AESおよびCA-SFMアルゴリズムは、CPE検出において同様の感度（93.8%対97.2%）および特異度（53.5%対49.5%）を示した。
〜を引き起こすおそれがある,lead,turn,refer,Subtle hydrolytic activity complicates phenotypic detection and may [   ] to diagnostic failure.,"In Europe, the emergence of OXA-48-like variants such as OXA-244 and OXA-484, which exhibit low hydrolytic activity to carbapenems and temocillin, complicates routine phenotypic detection and may lead to diagnostic failure.",欧州において、カルバペネムやテモシリンに対する加水分解活性が低いOXA-244やOXA-484などのOXA-48様変異株の出現は、通常の表現型検出を難しくし、診断失敗につながる可能性がある。
重要な課題に対処する,addressing,ignoring,expanding,"The implementation of a dedicated rule improves detection accuracy, [   ] an important diagnostic gap.","The implementation of a dedicated rule significantly improves detection of difficult-to-identify OXA-244/OXA-484 producers, addressing an important diagnostic gap.",専用ルールの導入により、同定困難なOXA-244/OXA-484産生菌の検出が大幅に改善され、重要な診断上の課題に対処している。
〜にとって極めて重要である,critical,redundant,negligible,Accurate susceptibility testing is [   ] for guiding appropriate targeted therapy.,Accurate antifungal susceptibility testing is critical for guiding antifungal therapy and informing infection prevention and antifungal stewardship strategies for,正確な抗真菌薬感受性試験は、抗真菌療法の指針となり、感染予防および抗真菌薬適正使用支援戦略に情報を提供する上で極めて重要である。
〜の治療に適応される,indicated,prohibited,discarded,The novel combination agent is [   ] for the treatment of multidrug-resistant bacterial infections.,It is indicated for the treatment of multidrug-resistant Gram-negative bacteria that produce multiple classes of β-lactamases.,本剤は、複数クラスのβ-ラクタマーゼを産生する多剤耐性グラム陰性菌による感染症の治療に適応されている。
〜に依存していた,relied,persisted,insisted,"Until recently, susceptibility testing for this novel agent [   ] on manual elution methods.","Until recently, antimicrobial susceptibility testing for this combined agent relied on broth disk elution or microdilution using ceftazidime-avibactam and aztreonam combined.",最近まで、この併用剤の抗菌薬感受性試験は、セフタジジム・アビバクタムとアズトレオナムを組み合わせた微量液体希釈法やディスク溶出法に依存していた。
最も一般的に実施されている,commonly,rarely,poorly,Gram staining is one of the most [   ] performed diagnostic tests in microbiology labs.,Gram staining is one of the most commonly performed tests in the clinical microbiology laboratory.,グラム染色法は、臨床微生物検査室で最も一般的に実施されている検査の一つである。
〜と〜の両方に,both,either,neither,Test results are used to [   ] guide empiric antimicrobial therapy as well as downstream procedures.,"Results are used to both guide empiric antimicrobial therapy as well as downstream laboratory procedures, including culture workup.",検査結果は、経験的抗菌薬療法の指針決定と、培養同定を含むその後の検査手順の両方に用いられる。
それゆえに／したがって,such,well,much,"Gram staining demands rapid turnaround time; as [   ], it is an ideal target for automation.","Despite its ubiquity, Gram staining is time-intensive, operator-dependent, and demands a rapid turnaround time. As such, it is an ideal target for automation.",普及しているにもかかわらず、グラム染色は時間と手間がかかり検者依存的で、迅速な結果返却が求められる。したがって、これは自動化の理想的な対象である。
本稿では〜を提案／提示する,present,withdraw,refuse,"Here, we [   ] the development of a digital microscopy system for rapid slide scanning.","Here, we present the development of digital holographic microscopy, an optical system that scans slides using a multispectral coherent light instead of traditional lenses.",本稿では、従来のレンズの代わりに多波長コヒーレント光を用いてスライドをスキャンする光学システムであるデジタルホログラフィック顕微鏡の開発を提示する。
〜に益をもたらす,benefit,hazard,burden,This novel system may provide [   ] to clinical laboratories by increasing testing efficiency.,This technology may therefore provide benefit to clinical microbiology laboratories by increasing efficiency of the Gram staining process.,したがって、この技術はグラム染色プロセスの効率を高めることにより、臨床微生物検査室に大きな益をもたらす可能性がある。
